Campo,Valor
Campo,Valor
Última actualización de los datos,26 de febrero de 2024
Última actualización de los metadatos,26 de febrero de 2024
Creado,26 de febrero de 2024
Formato,XLSX
Licencia,Creative Commons Attribution
Email publisher,Emilio.soto@sonora.gob.mx
End date,1989-12-31
Has views,True
Id,ffe3c845-1fc7-4a6c-ab21-3a1db1740fdd
Mimetype,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
On same domain,True
Package id,ee8f639f-5e89-46ae-93b9-934b05fc6233
Position,6
Publisher,Emilio Alonso Soto Ruan
Publisher area,"Direccion General de Planeacion, Administracion y Evaluacion"
Publisher puesto,Director de Estiadistica y Tenologias
Region,Sonora
Responsible,Lic. Emilio Soto
Responsible puesto,Director de Estadística y Tecnologías
Size,"646,6 KiB"
Start date,1980-01-01
State,active
Url type,upload
Periodo de Datos (AAAA-MM-DD),"1980-01-01, 1989-12-31"
Región Geográfica o Demográfica,"Sonora.
                              
                                  (
                                  1
                                  
                                      Estado
                                  
                                  )"
