Campo,Valor
Campo,Valor
Última actualización de los datos,26 de febrero de 2024
Última actualización de los metadatos,26 de febrero de 2024
Creado,26 de febrero de 2024
Formato,XLSX
Licencia,Creative Commons Attribution
Email publisher,Emilio.soto@sonora.gob.mx
End date,1969-12-31
Has views,True
Id,4d1bb645-19da-407f-8182-b0be2d7b7485
Package id,ee8f639f-5e89-46ae-93b9-934b05fc6233
Position,4
Publisher,Emilio Alonso Soto Ruan
Publisher area,"Direccion General de Planeacion, Administracion y Evaluacion"
Publisher puesto,Director de Estiadistica y Tenologias
Region,Sonora
Responsible,Lic. Emilio Soto
Responsible puesto,Director de Estadística y Tecnologías
Size,"529,2 KiB"
Start date,1960-01-01
State,active
Periodo de Datos (AAAA-MM-DD),"1960-01-01, 1969-12-31"
Región Geográfica o Demográfica,"Sonora.
                              
                                  (
                                  1
                                  
                                      Estado
                                  
                                  )"
