Campo,Valor
Campo,Valor
Última actualización de los datos,19 de septiembre de 2024
Última actualización de los metadatos,19 de septiembre de 2024
Creado,19 de septiembre de 2024
Formato,XLSX
Licencia,Creative Commons Attribution
Email publisher,Emilio.soto@sonora.gob.mx
End date,2024-09-19
Has views,True
Id,213a4f46-7cd1-412f-aeec-4fab8193f51f
Mimetype,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
On same domain,True
Package id,ee8f639f-5e89-46ae-93b9-934b05fc6233
Position,10
Publisher,Emilio Alonso Soto Ruan
Publisher area,"Direccion General de Planeacion, Administracion y Evaluacion"
Publisher puesto,Director de Estiadistica y Tenologias
Region,Sonora
Responsible,Emilio Alonso Soto Ruan
Responsible puesto,Director de Estadística y Tecnología
Size,"311,8 KiB"
Start date,2020-01-01
State,active
Url type,upload
Periodo de Datos (AAAA-MM-DD),"2020-01-01, 2024-09-19"
Región Geográfica o Demográfica,"Sonora.
                              
                                  (
                                  1
                                  
                                      Estado
                                  
                                  )"
